CLASS_NAME,DEPT,COURSE_NUM,COURSE_TOPIC
"Nationalism, Racism, Multiculturalism",ANTH,2250,
"Nationalism, Racism, Multiculturalism",ANTH,2250,
"Nationalism, Racism, Multiculturalism",ANTH,2250,
"Nationalism, Racism, Multiculturalism",ANTH,2250,
"Nationalism, Racism, Multiculturalism",ANTH,2250,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Medical Anthropology,ANTH,2280,
Disaster,ANTH,2375,
Sociolinguistics,ANTH,2410,
Sociolinguistics,ANTH,2410,
Sociolinguistics,ANTH,2410,
Sociolinguistics,ANTH,2410,
Language in Human Evolution,ANTH,2415,
Language in Human Evolution,ANTH,2415,
Language in Human Evolution,ANTH,2415,
Language in Human Evolution,ANTH,2415,
Language in Human Evolution,ANTH,2415,
Language in Human Evolution,ANTH,2415,
Language in Human Evolution,ANTH,2415,
Languages of the World,ANTH,2430,
Languages of the World,ANTH,2430,
Languages of the World,ANTH,2430,
Languages of the World,ANTH,2430,
New Course in Anthropology,ANTH,2559,Contemporary Indigenous Worlds
New Course in Anthropology,ANTH,2559,"Sex, Spirits, and Sorcery: The Art of Arnhem Land"
Using Anthropology,ANTH,3020,
Using Anthropology,ANTH,3020,
Using Anthropology,ANTH,3020,
Using Anthropology,ANTH,3020,
The Anthropology of Food,ANTH,3240,
The Anthropology of Food,ANTH,3240,
The Anthropology of Food,ANTH,3240,
The Anthropology of Food,ANTH,3240,
Biopolitics and the Contemporary Condition,ANTH,3290,
"Pregnancy, Birthing and the Post-Partum",ANTH,3390,
Language and Culture in the Middle East,ANTH,3470,
Language and Culture in the Middle East,ANTH,3470,
Language and Culture in the Middle East,ANTH,3470,
Language and Culture in the Middle East,ANTH,3470,
Language and Thought,ANTH,3490,
Language and Thought,ANTH,3490,
Language and Thought,ANTH,3490,
Language and Thought,ANTH,3490,
New Course in Anthropology,ANTH,3559,Curating Culture: Collection Preservation Display
Topics in Archaeology,ANTH,3589,Archaeology of Health and Disease
Social and Cultural Anthropology,ANTH,3590,Moral Experience
Social and Cultural Anthropology,ANTH,3590,Indigenous North American Arts
Social and Cultural Anthropology,ANTH,3590,Himalaya Revisited
Archaeology of Europe,ANTH,3885,
Majors Seminar,ANTH,4591,"Truth Claims, Visual Technology, and Justice"
Majors Seminar,ANTH,4591,Family across Cultures
Independent Study in Anthropology,ANTH,4993,
Independent Study in Anthropology,ANTH,4993,
Independent Study in Anthropology,ANTH,4993,
Independent Study in Anthropology,ANTH,4993,
Distinguished Majors Thesis Writing,ANTH,4999,
Distinguished Majors Thesis Writing,ANTH,4999,
Distinguished Majors Thesis Writing,ANTH,4999,
World Mental Health,ANTH,5360,
Linguistic Field Methods,ANTH,5401,
Phonology,ANTH,5410,
Language Contact,ANTH,5425,
Language and the Culture of Preservation,ANTH,5465,
Selected Topics in Archaeology,ANTH,5589,Household Archaeology
Topics in Social and Cultural Anthropology,ANTH,5590,African American Anthropologists:Claiming Presence
Contemporary Anthropological Theory,ANTH,7020,
Ethnographic Research Design and Methods,ANTH,7040,
Language and Culture in the Middle East,ANTH,7470,
Language and Culture in the Middle East,ANTH,7470,
Topics in Social and Cultural Anthropology,ANTH,7590,Anthropology of Religion
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
"Non-Topical Research, Preparation for Research",ANTH,8998,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Non-Topical Research,ANTH,8999,
Directed Readings,ANTH,9010,
Directed Readings,ANTH,9010,
Directed Readings,ANTH,9010,
Directed Readings,ANTH,9010,
Directed Readings,ANTH,9010,
Directed Readings,ANTH,9010,
Directed Readings,ANTH,9010,
Directed Readings,ANTH,9020,
Directed Readings,ANTH,9020,
Directed Readings,ANTH,9020,
Directed Readings,ANTH,9020,
Directed Readings,ANTH,9020,
Directed Readings,ANTH,9020,
Directed Readings,ANTH,9020,
Directed Readings,ANTH,9020,
Research Practicum,ANTH,9050,
"Non-Topical Research, Preparation for Doctoral Research",ANTH,9998,
"Non-Topical Research, Preparation for Doctoral Research",ANTH,9998,
"Non-Topical Research, Preparation for Doctoral Research",ANTH,9998,
